Timeframe,Week of, 2019 counts (31 counters), 2020 counts (31 counters),2021 Counts,Change 2019-2020,,,,,,,,,,,,,,,,,,
Week 1,30-Dec,167679,183546,,9%,1.094627234,,,,,,,,,,,,,,,,,
Week 2,06-Jan,82345,97140,,18%,117.9670897,,,,,,,,,,,,,,,,,
Week 3,13-Jan,65432,75782,,22%,115.8179484,,,,,,,,,,,,,,,,,
Week 4,20-Jan,75801,83809,,11%,110.5645044,,,,,,,,,,,,,,,,,
Week 5,27-Jan,75841,94738,,25%,124.9166018,,,,,,,,,,,,,,,,,
Week 6,03-Feb,79780,153555,,92%,192.4730509,,,,,,,,,,,,,,,,,
Week 7,10-Feb,65732,130351,,98%,198.3067608,,,,,,,,,,,,,,,,,
Week 8,17-Feb,69492,149876,,116%,215.6737466,,,,,,,,,,,,,,,,,
Week 9,24-Feb,85688,141250,,65%,164.8422183,,,,,,,,,,,,,,,,,
Week 10,02-Mar,84512,167528,,98%,198.2298372,,,,,,,,,,,,,,,,,
Week 11,09-Mar,107995,210182,,95%,194.6219732,,,,,,,,,,,,,,,,,
Week 12,16-Mar,125440,367795,,193%,293.2039222,,,,,,,,,,,,,,,,,
Week 13,23-Mar,136330,372783,,173%,273.4416489,,,,,,,,,,,,,,,,,
Week 14,30-Mar,118784,280728,,136%,236.3348599,,,,,,,,,,,,,,,,,
Week 15,06-Apr,132033,419160,,217%,317.466088,,,,,,,,,,,,,,,,,
Week 16,13-Apr,133267,241810,,81%,181.4477703,,,,,,,,,,,,,,,,,
Week 17,20-Apr,165777,231184,,39%,139.4548098,,,,,,,,,,,,,,,,,
Week 18,27-Apr,166356,276982,,66%,166.4995552,,,,,,,,,,,,,,,,,
Week 19,04-May,171049,244058,,43%,142.6830908,,,,,,,,,,,,,,,,,
Week 20,11-May,178534,281348,,58%,157.5879104,,,,,,,,,,,,,,,,,
Week 21,18-May,191319,255226,,33%,133.4033734,,,,,,,,,,,,,,,,,
Week 22,25-May,240507,299567,,25%,124.5564578,,,,,,,,,,,,,,,,,
Week 23,01-Jun,211380,278800,,32%,131.8951651,,,,,,,,,,,,,,,,,
Week 24,08-Jun,214729,296335,,38%,138.004182,,,,,,,,,,,,,,,,,
Week 25,15-Jun,202847,255112,,26%,125.7657249,,,,,,,,,,,,,,,,,
Week 26,22-Jun,202445,256615,,27%,126.7578849,,,,,,,,,,,,,,,,,
Week 27,29-Jun,184658,236287,,28%,127.9592544,,,,,,,,,,,,,,,,,
Week 28,06-Jul,185302,244342,,32%,131.8615018,,,,,,,,,,,,,,,,,
Week 29,13-Jul,166125,250590,,51%,150.8442438,,,,,,,,,,,,,,,,,
Week 30,20-Jul,208809,223757,,7%,107.1586953,,,,,,,,,,,,,,,,,
Week 31,27-Jul,197005,238673,,21%,121.1507322,,,,,,,,,,,,,,,,,
Week 32,03-Aug,180605,239827,,33%,132.7908973,,,,,,,,,,,,,,,,,
Week 33,10-Aug,191450,219279,,15%,114.5359102,,,,,,,,,,,,,,,,,
Week 34,17-Aug,168754,241007,,43%,142.8155777,,,,,,,,,,,,,,,,,
Week 35,24-Aug,176624,273677,,55%,154.9489311,,,,,,,,,,,,,,,,,
Week 36,31-Aug,184806,227918,,23%,123.3282469,,,,,,,,,,,,,,,,,
Week 37,07-Sep,157345,207670,,32%,131.9838571,,,,,,,,,,,,,,,,,
Week 38,14-Sep,152527,207320,,36%,135.9234758,,,,,,,,,,,,,,,,,
Week 39,21-Sep,141072,207918,,47%,147.3843144,,,,,,,,,,,,,,,,,
Week 40,28-Sep,135881,186004,,37%,136.8874236,,,,,,,,,,,,,,,,,
